date,sales
2024-01-01,1245
2024-01-02,1389
2024-01-03,1456
2024-01-04,1523
2024-01-05,1678
2024-01-06,1890
2024-01-07,2134
2024-01-08,1234
2024-01-09,1367
2024-01-10,1445
2024-01-11,1534
2024-01-12,1689
2024-01-13,1901
2024-01-14,2156
2024-01-15,1256
2024-01-16,1378
2024-01-17,1467
2024-01-18,1545
2024-01-19,1701
2024-01-20,1923
2024-01-21,2178
2024-01-22,1267
2024-01-23,1390
2024-01-24,1478
2024-01-25,1556
2024-01-26,1712
2024-01-27,1934
2024-01-28,2189
2024-01-29,1278
2024-01-30,1401
2024-01-31,1489
2024-02-01,1567
2024-02-02,1723
2024-02-03,1945
2024-02-04,2201
2024-02-05,1289
2024-02-06,1412
2024-02-07,1501
2024-02-08,1578
2024-02-09,1734
2024-02-10,1956
2024-02-11,2212
2024-02-12,1301
2024-02-13,1423
2024-02-14,1512
2024-02-15,1589
2024-02-16,1745
2024-02-17,1967
2024-02-18,2223
2024-02-19,1312
2024-02-20,1434
2024-02-21,1523
2024-02-22,1601
2024-02-23,1756
2024-02-24,1978
2024-02-25,2234
2024-02-26,1323
2024-02-27,1445
2024-02-28,1534
2024-02-29,1612
2024-03-01,1767
2024-03-02,1989
2024-03-03,2245
2024-03-04,1334
2024-03-05,1456
2024-03-06,1545
2024-03-07,1623
2024-03-08,1778
2024-03-09,2001
2024-03-10,2256
2024-03-11,1345
2024-03-12,1467
2024-03-13,1556
2024-03-14,1634
2024-03-15,1789
2024-03-16,2012
2024-03-17,2267
2024-03-18,1356
2024-03-19,1478
2024-03-20,1567
2024-03-21,1645
2024-03-22,1801
2024-03-23,2023
2024-03-24,2278
2024-03-25,1367
2024-03-26,1489
2024-03-27,1578
2024-03-28,1656
2024-03-29,1812
2024-03-30,2034
2024-03-31,2289
